artist_id,id,release_date,cover_photo,title
6,1,2017-09-22,https://dummyimage.com/145x342,Album 1: Multi-tiered grid-enabled circuit
1,2,2016-10-20,https://placekitten.com/464/619,Album 2: Balanced static data-warehouse
1,3,2016-08-06,https://placekitten.com/993/701,Album 3: Synchronized radical collaboration
1,4,2015-04-07,https://dummyimage.com/1020x949,Album 4: Compatible reciprocal data-warehouse
6,5,2021-05-30,https://dummyimage.com/1011x361,Album 5: Switchable holistic paradigm
6,6,2018-03-22,https://placekitten.com/834/414,Album 6: Team-oriented web-enabled software
8,7,2020-02-04,https://picsum.photos/999/962,Album 7: Expanded national function
7,8,2019-01-21,https://picsum.photos/357/878,Album 8: Horizontal zero-defect circuit
8,9,2015-04-02,https://placekitten.com/686/564,Album 9: Diverse reciprocal neural-net
7,10,2024-05-06,https://placekitten.com/257/466,Album 10: Synergistic methodical implementation
